Produto,Resultado
DUBAI / XT2203,DEBAI
DEVON 4G / XT2235,DEVON
MIAMI / XT2245,MIAMI
BORA G / XT2239-10,BORA G
BORA G 32GB / XT2239-16,BORA G 32
BORA G 64GB / XT2239-10,BORA G 64
SABAH LITE / XT2345-1,SABAH LITE / XT2345
PENANG 5G / XT2335-1,PENANG 5
PENANG PLUS / XT2333-4,PENANG PLUS / XT2333
BORA G 128GB / XT2239-10,BORA G 128
DEVON 5G,
CANCUN 4G / XT2341-1,CANCUN 4
BANGKOK 5G / XT2347-1,BANGKOK 5
CANCUN 5G / XT2343-1,CANCUN 5
XT2231_128GB_HAWAII PLUS        ,HAWAII
XT2227 64GB HAWAII22            ,HAWAII22
XT2233 128GB HAWAII+ OLED       ,HAWAII OLED
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2235 128GB - DEVON 4G         ,DEVON 4G
XT2237 128GB DEVON 5G           ,DEVON 5G
XT2235 128GB - DEVON 4G         ,DEVON 4G
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2227 64GB HAWAII22            ,HAWAII 22
XT2235-1_4/128GB - DEVON 4G     ,DEVON 4G
XT2235 128GB - DEVON 4G         ,DEVON 4G
XT2235 128GB - DEVON 4G         ,DEVON 4G
XT2227 64GB HAWAII22            ,HAWAII22
XT2235-1_4/128GB_DS-DEVON 4G    ,DEVON 4G
XT2307 256GB MANAUS             ,MANAUS
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2235 128GB - DEVON 4G         ,DEVON 5G
XT2237 128GB DEVON 5G           ,DEVON 5G
XT2227 64GB HAWAII22            ,HAWAII22
XT2231_128GB_HAWAII PLUS        ,HAWAII PLUS
XT2227 64GB HAWAII22            ,HAWAII22
PENANG_PLUS,PENANG PLUS
DEVON_5G,DEVON 5G
PENANG_5G,PENANG 5G
SABAH_LITE,SABAH LITE
LONDON,LONDON
JUNO,JUNO
CANCUN_4G,CANCUN 4G
PINE,PINE
BANGKOK 5G,BANGKOK 5G
CANCUN_5G,CANCUN 5G
MANAUS_5G,MANAUS 5G
